Area,Age group,Sex,Year,Value,Flags
"Total, New Zealand by regional council/area unit","14 years","Male","2006",32469,
"Total, New Zealand by regional council/area unit","14 years","Female","2006",30654,
"Total, New Zealand by regional council/area unit","15 years","Male","2006",32535,
"Total, New Zealand by regional council/area unit","15 years","Female","2006",31563,
"Total, New Zealand by regional council/area unit","16 years","Male","2006",31380,
"Total, New Zealand by regional council/area unit","16 years","Female","2006",30480,
"Total, New Zealand by regional council/area unit","17 years","Male","2006",30606,
"Total, New Zealand by regional council/area unit","17 years","Male","2013",30654,
"Total, New Zealand by regional council/area unit","17 years","Female","2006",29535,
"Total, New Zealand by regional council/area unit","17 years","Female","2013",29154,
"Total, New Zealand by regional council/area unit","18 years","Male","2006",29616,
"Total, New Zealand by regional council/area unit","18 years","Male","2013",29820,
"Total, New Zealand by regional council/area unit","18 years","Female","2006",28446,
"Total, New Zealand by regional council/area unit","18 years","Female","2013",28716,
"Total, New Zealand by regional council/area unit","19 years","Male","2006",28299,
"Total, New Zealand by regional council/area unit","19 years","Male","2013",30120,
"Total, New Zealand by regional council/area unit","19 years","Female","2006",27738,
"Total, New Zealand by regional council/area unit","19 years","Female","2013",29175,
"Total, New Zealand by regional council/area unit","20 years","Male","2006",28167,
"Total, New Zealand by regional council/area unit","20 years","Male","2013",30042,
"Total, New Zealand by regional council/area unit","20 years","Female","2006",28224,
"Total, New Zealand by regional council/area unit","20 years","Female","2013",29592,
"Total, New Zealand by regional council/area unit","21 years","Male","2006",27417,
"Total, New Zealand by regional council/area unit","21 years","Female","2006",27633,
"Total, New Zealand by regional council/area unit","22 years","Male","2006",27216,
"Total, New Zealand by regional council/area unit","22 years","Female","2006",27324,
"Total, New Zealand by regional council/area unit","23 years","Male","2006",26805,
"Total, New Zealand by regional council/area unit","23 years","Female","2006",26937,
"Total, New Zealand by regional council/area unit","24 years","Male","2006",25485,
"Total, New Zealand by regional council/area unit","24 years","Female","2006",25773,
"Total, New Zealand by regional council/area unit","25 years","Male","2006",24561,
"Total, New Zealand by regional council/area unit","25 years","Female","2006",25113,
"Total, New Zealand by regional council/area unit","26 years","Male","2006",23697,
"Total, New Zealand by regional council/area unit","26 years","Female","2006",25050,
"Total, New Zealand by regional council/area unit","27 years","Male","2006",22878,
"Total, New Zealand by regional council/area unit","27 years","Female","2006",24750,
"Total, New Zealand by regional council/area unit","28 years","Male","2006",22596,
"Total, New Zealand by regional council/area unit","28 years","Female","2006",24780,
"Total, New Zealand by regional council/area unit","29 years","Male","2006",23484,
"Total, New Zealand by regional council/area unit","29 years","Female","2006",25533,
"Total, New Zealand by regional council/area unit","30 years","Male","2006",23778,
"Total, New Zealand by regional council/area unit","30 years","Female","2006",26103,
"Total, New Zealand by regional council/area unit","31 years","Male","2006",25074,
"Total, New Zealand by regional council/area unit","31 years","Female","2006",27930,
"Total, New Zealand by regional council/area unit","32 years","Male","2006",26013,
"Total, New Zealand by regional council/area unit","32 years","Female","2006",29157,
"Total, New Zealand by regional council/area unit","33 years","Male","2006",27384,
"Total, New Zealand by regional council/area unit","33 years","Female","2006",30549,
"Total, New Zealand by regional council/area unit","34 years","Male","2006",28632,
"Total, New Zealand by regional council/area unit","34 years","Female","2006",31932,
"Total, New Zealand by regional council/area unit","35 years","Male","2006",28542,
"Total, New Zealand by regional council/area unit","35 years","Female","2006",32031,
"Total, New Zealand by regional council/area unit","36 years","Male","2006",28899,
"Total, New Zealand by regional council/area unit","36 years","Female","2006",32025,
"Total, New Zealand by regional council/area unit","37 years","Male","2006",28665,
"Total, New Zealand by regional council/area unit","37 years","Female","2006",31896,
"Total, New Zealand by regional council/area unit","38 years","Male","2006",28380,
"Total, New Zealand by regional council/area unit","38 years","Female","2006",31467,
"Total, New Zealand by regional council/area unit","39 years","Male","2006",28512,
"Total, New Zealand by regional council/area unit","39 years","Female","2006",31134,
"Total, New Zealand by regional council/area unit","40 years","Male","2006",29175,
"Total, New Zealand by regional council/area unit","40 years","Female","2006",31212,
"Total, New Zealand by regional council/area unit","41 years","Male","2006",29427,
"Total, New Zealand by regional council/area unit","41 years","Female","2006",31944,
"Total, New Zealand by regional council/area unit","42 years","Male","2006",30678,
"Total, New Zealand by regional council/area unit","42 years","Female","2006",32985,
"Total, New Zealand by regional council/area unit","43 years","Male","2006",30951,
"Total, New Zealand by regional council/area unit","43 years","Female","2006",33654,
"Total, New Zealand by regional council/area unit","44 years","Male","2006",30669,
"Total, New Zealand by regional council/area unit","44 years","Female","2006",33003,
"Total, New Zealand by regional council/area unit","45 years","Male","2006",30306,
"Total, New Zealand by regional council/area unit","45 years","Female","2006",32253,
"Total, New Zealand by regional council/area unit","46 years","Male","2006",29064,
"Total, New Zealand by regional council/area unit","46 years","Female","2006",30783,
"Total, New Zealand by regional council/area unit","47 years","Male","2006",28509,
"Total, New Zealand by regional council/area unit","47 years","Female","2006",29826,
"Total, New Zealand by regional council/area unit","48 years","Male","2006",27585,
"Total, New Zealand by regional council/area unit","48 years","Female","2006",29028,
"Total, New Zealand by regional council/area unit","49 years","Male","2006",27591,
"Total, New Zealand by regional council/area unit","49 years","Female","2006",28479,
"Total, New Zealand by regional council/area unit","50 years","Male","2006",26400,
"Total, New Zealand by regional council/area unit","50 years","Female","2006",27522,
"Total, New Zealand by regional council/area unit","53 years","Male","2006",24237,
"Total, New Zealand by regional council/area unit","53 years","Female","2006",24945,
"Total, New Zealand by regional council/area unit","54 years","Male","2006",23730,
"Total, New Zealand by regional council/area unit","54 years","Female","2006",24063,
"Total, New Zealand by regional council/area unit","55 years","Male","2006",23439,
"Total, New Zealand by regional council/area unit","55 years","Female","2006",24321,
"Total, New Zealand by regional council/area unit","56 years","Male","2006",23181,
"Total, New Zealand by regional council/area unit","56 years","Female","2006",23676,
"Total, New Zealand by regional council/area unit","57 years","Male","2006",23139,
"Total, New Zealand by regional council/area unit","57 years","Female","2006",23451,
"Total, New Zealand by regional council/area unit","58 years","Male","2006",23133,
"Total, New Zealand by regional council/area unit","58 years","Female","2006",23835,
"Total, New Zealand by regional council/area unit","59 years","Male","2006",22335,
"Total, New Zealand by regional council/area unit","59 years","Female","2006",23064,
"Total, New Zealand by regional council/area unit","60 years","Male","2006",19533,
"Total, New Zealand by regional council/area unit","60 years","Female","2006",20145,
"Total, New Zealand by regional council/area unit","61 years","Male","2006",17985,
"Total, New Zealand by regional council/area unit","61 years","Female","2006",18477,
"Total, New Zealand by regional council/area unit","62 years","Male","2006",17145,
"Total, New Zealand by regional council/area unit","62 years","Female","2006",17526,
"Total, New Zealand by regional council/area unit","63 years","Male","2006",16308,
"Total, New Zealand by regional council/area unit","63 years","Female","2006",16989,
"Total, New Zealand by regional council/area unit","64 years","Male","2006",17364,
"Total, New Zealand by regional council/area unit","64 years","Female","2006",18147,
"Total, New Zealand by regional council/area unit","65 years","Male","2006",17019,
"Total, New Zealand by regional council/area unit","65 years","Female","2006",17559,
"Total, New Zealand by regional council/area unit","66 years","Male","2006",15054,
"Total, New Zealand by regional council/area unit","66 years","Female","2006",15786,
"Total, New Zealand by regional council/area unit","67 years","Male","2006",14079,
"Total, New Zealand by regional council/area unit","67 years","Female","2006",15183,
"Total, New Zealand by regional council/area unit","68 years","Male","2006",13407,
"Total, New Zealand by regional council/area unit","68 years","Female","2006",14184,
"Total, New Zealand by regional council/area unit","69 years","Male","2006",12555,
"Total, New Zealand by regional council/area unit","69 years","Female","2006",13722,
"Total, New Zealand by regional council/area unit","70 years","Male","2006",11889,
"Total, New Zealand by regional council/area unit","70 years","Female","2006",12717,
"Total, New Zealand by regional council/area unit","71 years","Male","2006",11808,
"Total, New Zealand by regional council/area unit","71 years","Female","2006",12516,
"Total, New Zealand by regional council/area unit","72 years","Male","2006",10929,
"Total, New Zealand by regional council/area unit","72 years","Female","2006",12054,
"Total, New Zealand by regional council/area unit","73 years","Male","2006",10638,
"Total, New Zealand by regional council/area unit","73 years","Female","2006",12009,
"Total, New Zealand by regional council/area unit","74 years","Male","2006",10617,
"Total, New Zealand by regional council/area unit","74 years","Female","2006",11760,
"Total, New Zealand by regional council/area unit","75 years","Male","2006",10554,
"Total, New Zealand by regional council/area unit","75 years","Female","2006",11994,
"Total, New Zealand by regional council/area unit","76 years","Male","2006",9747,
"Total, New Zealand by regional council/area unit","76 years","Female","2006",11409,
"Total, New Zealand by regional council/area unit","77 years","Male","2006",9327,
"Total, New Zealand by regional council/area unit","77 years","Female","2006",10845,
"Total, New Zealand by regional council/area unit","78 years","Male","2006",8736,
"Total, New Zealand by regional council/area unit","78 years","Female","2006",10440,
"Total, New Zealand by regional council/area unit","79 years","Male","2006",7992,
"Total, New Zealand by regional council/area unit","79 years","Female","2006",10167,
"Total, New Zealand by regional council/area unit","80 years","Male","2006",7326,
"Total, New Zealand by regional council/area unit","80 years","Female","2006",9768,
"Total, New Zealand by regional council/area unit","81 years","Male","2006",6651,
"Total, New Zealand by regional council/area unit","81 years","Female","2006",9300,
"Total, New Zealand by regional council/area unit","82 years","Male","2006",5814,
"Total, New Zealand by regional council/area unit","82 years","Female","2006",8589,
"Total, New Zealand by regional council/area unit","83 years","Male","2006",4935,
"Total, New Zealand by regional council/area unit","83 years","Female","2006",7914,
"Total, New Zealand by regional council/area unit","84 years","Male","2006",4398,
"Total, New Zealand by regional council/area unit","84 years","Female","2006",7542,
"Total, New Zealand by regional council/area unit","85 years","Male","2006",3966,
"Total, New Zealand by regional council/area unit","85 years","Female","2006",7014,
"Total, New Zealand by regional council/area unit","86 years","Male","2006",2934,
"Total, New Zealand by regional council/area unit","86 years","Female","2006",5625,
"Total, New Zealand by regional council/area unit","87 years","Male","2006",2325,
"Total, New Zealand by regional council/area unit","87 years","Female","2006",4734,
"Total, New Zealand by regional council/area unit","88 years","Male","2006",1872,
"Total, New Zealand by regional council/area unit","88 years","Female","2006",4131,
"Total, New Zealand by regional council/area unit","89 years","Male","2006",1752,
"Total, New Zealand by regional council/area unit","89 years","Female","2006",3774,
"Total, New Zealand by regional council/area unit","90 years","Male","2006",1314,
"Total, New Zealand by regional council/area unit","90 years","Female","2006",3147,
"Total, New Zealand by regional council/area unit","91 years","Male","2006",999,
"Total, New Zealand by regional council/area unit","91 years","Female","2006",2628,
"Total, New Zealand by regional council/area unit","92 years","Male","2006",732,
"Total, New Zealand by regional council/area unit","92 years","Female","2006",2037,
"Total, New Zealand by regional council/area unit","93 years","Male","2006",573,
"Total, New Zealand by regional council/area unit","93 years","Female","2006",1743,
"Total, New Zealand by regional council/area unit","94 years","Male","2006",375,
"Total, New Zealand by regional council/area unit","94 years","Female","2006",1227,
"Total, New Zealand by regional council/area unit","95 years","Male","2006",252,
"Total, New Zealand by regional council/area unit","95 years","Female","2006",879,
"Total, New Zealand by regional council/area unit","96 years","Male","2006",183,
"Total, New Zealand by regional council/area unit","96 years","Female","2006",675,
"Total, New Zealand by regional council/area unit","97 years","Male","2006",117,
"Total, New Zealand by regional council/area unit","97 years","Female","2006",468,
"Total, New Zealand by regional council/area unit","98 years","Male","2006",99,
"Total, New Zealand by regional council/area unit","98 years","Female","2006",297,
"Total, New Zealand by regional council/area unit","99 years","Male","2006",54,
"Total, New Zealand by regional council/area unit","99 years","Female","2006",207,
"Total, New Zealand by regional council/area unit","100 years and over","Male","2013",105,
"Total, New Zealand by regional council/area unit","100 years and over","Female","2013",453,
"Total, New Zealand by regional council/area unit","Less than one year","Male","2013",29247,
"Total, New Zealand by regional council/area unit","Less than one year","Female","2013",28200,
"Total, New Zealand by regional council/area unit","One year","Male","2013",28791,
"Total, New Zealand by regional council/area unit","One year","Female","2013",27690,
"Total, New Zealand by regional council/area unit","Two years","Male","2013",30033,
"Total, New Zealand by regional council/area unit","Two years","Female","2013",28860,
"Total, New Zealand by regional council/area unit","Three years","Male","2013",30465,
"Total, New Zealand by regional council/area unit","Three years","Female","2013",29139,
"Total, New Zealand by regional council/area unit","Four years","Male","2013",30762,
"Total, New Zealand by regional council/area unit","Four years","Female","2013",28857,
"Total, New Zealand by regional council/area unit","Five years","Male","2013",30792,
"Total, New Zealand by regional council/area unit","Five years","Female","2013",29736,
"Total, New Zealand by regional council/area unit","Six years","Male","2013",29619,
"Total, New Zealand by regional council/area unit","Six years","Female","2013",28569,
"Total, New Zealand by regional council/area unit","Seven years","Male","2013",28620,
"Total, New Zealand by regional council/area unit","Seven years","Female","2013",27531,
"Total, New Zealand by regional council/area unit","Eight years","Male","2013",28656,
"Total, New Zealand by regional council/area unit","Eight years","Female","2013",27204,
"Total, New Zealand by regional council/area unit","Nine years","Male","2013",28518,
"Total, New Zealand by regional council/area unit","Nine years","Female","2013",27519,
"Total, New Zealand by regional council/area unit","10 years","Male","2013",28242,
"Total, New Zealand by regional council/area unit","10 years","Female","2013",26886,
"Total, New Zealand by regional council/area unit","11 years","Male","2013",28512,
"Total, New Zealand by regional council/area unit","11 years","Female","2013",27723,
"Total, New Zealand by regional council/area unit","12 years","Male","2013",30033,
"Total, New Zealand by regional council/area unit","12 years","Female","2013",28809,
"Total, New Zealand by regional council/area unit","13 years","Male","2013",30222,
"Total, New Zealand by regional council/area unit","13 years","Female","2013",28836,
"Total, New Zealand by regional council/area unit","14 years","Male","2013",29661,
"Total, New Zealand by regional council/area unit","14 years","Female","2013",27909,
"Total, New Zealand by regional council/area unit","15 years","Male","2013",30084,
"Total, New Zealand by regional council/area unit","15 years","Female","2013",28908,
"Total, New Zealand by regional council/area unit","16 years","Male","2013",30231,
"Total, New Zealand by regional council/area unit","16 years","Female","2013",28896,
"Total, New Zealand by regional council/area unit","21 years","Male","2013",30186,
"Total, New Zealand by regional council/area unit","21 years","Female","2013",29742,
"Total, New Zealand by regional council/area unit","22 years","Male","2013",29886,
"Total, New Zealand by regional council/area unit","22 years","Female","2013",29820,
"Total, New Zealand by regional council/area unit","23 years","Male","2013",28188,
"Total, New Zealand by regional council/area unit","23 years","Female","2013",28278,
"Total, New Zealand by regional council/area unit","24 years","Male","2013",27294,
"Total, New Zealand by regional council/area unit","24 years","Female","2013",27663,
"Total, New Zealand by regional council/area unit","25 years","Male","2013",26229,
"Total, New Zealand by regional council/area unit","25 years","Female","2013",27126,
"Total, New Zealand by regional council/area unit","26 years","Male","2013",25167,
"Total, New Zealand by regional council/area unit","26 years","Female","2013",26322,
"Total, New Zealand by regional council/area unit","27 years","Male","2013",24699,
"Total, New Zealand by regional council/area unit","27 years","Female","2013",26418,
"Total, New Zealand by regional council/area unit","28 years","Male","2013",24204,
"Total, New Zealand by regional council/area unit","28 years","Female","2013",26562,
"Total, New Zealand by regional council/area unit","29 years","Male","2013",24657,
"Total, New Zealand by regional council/area unit","29 years","Female","2013",26751,
"Total, New Zealand by regional council/area unit","30 years","Male","2013",24927,
"Total, New Zealand by regional council/area unit","30 years","Female","2013",27228,
"Total, New Zealand by regional council/area unit","31 years","Male","2013",24366,
"Total, New Zealand by regional council/area unit","31 years","Female","2013",26721,
"Total, New Zealand by regional council/area unit","32 years","Male","2013",24453,
"Total, New Zealand by regional council/area unit","32 years","Female","2013",26886,
"Total, New Zealand by regional council/area unit","33 years","Male","2013",24420,
"Total, New Zealand by regional council/area unit","33 years","Female","2013",27093,
"Total, New Zealand by regional council/area unit","34 years","Male","2013",23730,
"Total, New Zealand by regional council/area unit","34 years","Female","2013",26727,
"Total, New Zealand by regional council/area unit","35 years","Male","2013",23793,
"Total, New Zealand by regional council/area unit","35 years","Female","2013",26766,
"Total, New Zealand by regional council/area unit","36 years","Male","2013",24786,
"Total, New Zealand by regional council/area unit","36 years","Female","2013",27150,
"Total, New Zealand by regional council/area unit","37 years","Male","2013",24669,
"Total, New Zealand by regional council/area unit","37 years","Female","2013",27645,
"Total, New Zealand by regional council/area unit","38 years","Male","2013",26034,
"Total, New Zealand by regional council/area unit","38 years","Female","2013",29283,
"Total, New Zealand by regional council/area unit","39 years","Male","2013",27078,
"Total, New Zealand by regional council/area unit","39 years","Female","2013",30312,
"Total, New Zealand by regional council/area unit","40 years","Male","2013",28050,
"Total, New Zealand by regional council/area unit","40 years","Female","2013",31737,
"Total, New Zealand by regional council/area unit","41 years","Male","2013",29133,
"Total, New Zealand by regional council/area unit","41 years","Female","2013",32586,
"Total, New Zealand by regional council/area unit","42 years","Male","2013",28989,
"Total, New Zealand by regional council/area unit","42 years","Female","2013",32889,
"Total, New Zealand by regional council/area unit","43 years","Male","2013",29070,
"Total, New Zealand by regional council/area unit","43 years","Female","2013",32361,
"Total, New Zealand by regional council/area unit","44 years","Male","2013",28833,
"Total, New Zealand by regional council/area unit","44 years","Female","2013",32100,
"Total, New Zealand by regional council/area unit","45 years","Male","2013",28461,
"Total, New Zealand by regional council/area unit","45 years","Female","2013",31560,
"Total, New Zealand by regional council/area unit","46 years","Male","2013",28266,
"Total, New Zealand by regional council/area unit","46 years","Female","2013",31059,
"Total, New Zealand by regional council/area unit","47 years","Male","2013",28701,
"Total, New Zealand by regional council/area unit","47 years","Female","2013",30828,
"Total, New Zealand by regional council/area unit","48 years","Male","2013",29019,
"Total, New Zealand by regional council/area unit","48 years","Female","2013",31479,
"Total, New Zealand by regional council/area unit","49 years","Male","2013",29889,
"Total, New Zealand by regional council/area unit","49 years","Female","2013",32379,
"Total, New Zealand by regional council/area unit","50 years","Male","2013",30135,
"Total, New Zealand by regional council/area unit","50 years","Female","2013",32820,
"Total, New Zealand by regional council/area unit","51 years","Male","2006",25311,
"Total, New Zealand by regional council/area unit","51 years","Male","2013",29784,
"Total, New Zealand by regional council/area unit","51 years","Female","2006",26472,
"Total, New Zealand by regional council/area unit","51 years","Female","2013",32127,
"Total, New Zealand by regional council/area unit","52 years","Male","2006",24630,
"Total, New Zealand by regional council/area unit","52 years","Male","2013",29307,
"Total, New Zealand by regional council/area unit","52 years","Female","2006",25422,
"Total, New Zealand by regional council/area unit","52 years","Female","2013",31476,
"Total, New Zealand by regional council/area unit","53 years","Male","2013",27984,
"Total, New Zealand by regional council/area unit","53 years","Female","2013",29895,
"Total, New Zealand by regional council/area unit","54 years","Male","2013",27366,
"Total, New Zealand by regional council/area unit","54 years","Female","2013",29103,
"Total, New Zealand by regional council/area unit","55 years","Male","2013",26502,
"Total, New Zealand by regional council/area unit","55 years","Female","2013",28278,
"Total, New Zealand by regional council/area unit","56 years","Male","2013",26391,
"Total, New Zealand by regional council/area unit","56 years","Female","2013",27741,
"Total, New Zealand by regional council/area unit","57 years","Male","2013",25209,
"Total, New Zealand by regional council/area unit","57 years","Female","2013",26772,
"Total, New Zealand by regional council/area unit","58 years","Male","2013",24402,
"Total, New Zealand by regional council/area unit","58 years","Female","2013",25971,
"Total, New Zealand by regional council/area unit","59 years","Male","2013",23760,
"Total, New Zealand by regional council/area unit","59 years","Female","2013",25164,
"Total, New Zealand by regional council/area unit","60 years","Male","2013",23379,
"Total, New Zealand by regional council/area unit","60 years","Female","2013",24837,
"Total, New Zealand by regional council/area unit","61 years","Male","2013",23022,
"Total, New Zealand by regional council/area unit","61 years","Female","2013",23829,
"Total, New Zealand by regional council/area unit","62 years","Male","2013",22578,
"Total, New Zealand by regional council/area unit","62 years","Female","2013",24054,
"Total, New Zealand by regional council/area unit","63 years","Male","2013",22674,
"Total, New Zealand by regional council/area unit","63 years","Female","2013",23310,
"Total, New Zealand by regional council/area unit","64 years","Male","2013",22353,
"Total, New Zealand by regional council/area unit","64 years","Female","2013",23133,
"Total, New Zealand by regional council/area unit","65 years","Male","2013",22467,
"Total, New Zealand by regional council/area unit","65 years","Female","2013",23460,
"Total, New Zealand by regional council/area unit","66 years","Male","2013",21420,
"Total, New Zealand by regional council/area unit","66 years","Female","2013",22554,
"Total, New Zealand by regional council/area unit","67 years","Male","2013",18633,
"Total, New Zealand by regional council/area unit","67 years","Female","2013",19578,
"Total, New Zealand by regional council/area unit","68 years","Male","2013",17019,
"Total, New Zealand by regional council/area unit","68 years","Female","2013",17958,
"Total, New Zealand by regional council/area unit","69 years","Male","2013",16020,
"Total, New Zealand by regional council/area unit","69 years","Female","2013",16911,
"Total, New Zealand by regional council/area unit","70 years","Male","2013",15141,
"Total, New Zealand by regional council/area unit","70 years","Female","2013",16131,
"Total, New Zealand by regional council/area unit","71 years","Male","2013",15933,
"Total, New Zealand by regional council/area unit","71 years","Female","2013",17121,
"Total, New Zealand by regional council/area unit","72 years","Male","2013",15249,
"Total, New Zealand by regional council/area unit","72 years","Female","2013",16362,
"Total, New Zealand by regional council/area unit","73 years","Male","2013",13428,
"Total, New Zealand by regional council/area unit","73 years","Female","2013",14643,
"Total, New Zealand by regional council/area unit","74 years","Male","2013",12261,
"Total, New Zealand by regional council/area unit","74 years","Female","2013",13848,
"Total, New Zealand by regional council/area unit","75 years","Male","2013",11376,
"Total, New Zealand by regional council/area unit","75 years","Female","2013",12933,
"Total, New Zealand by regional council/area unit","76 years","Male","2013",10491,
"Total, New Zealand by regional council/area unit","76 years","Female","2013",12111,
"Total, New Zealand by regional council/area unit","77 years","Male","2013",9720,
"Total, New Zealand by regional council/area unit","77 years","Female","2013",11034,
"Total, New Zealand by regional council/area unit","78 years","Male","2013",9456,
"Total, New Zealand by regional council/area unit","78 years","Female","2013",10683,
"Total, New Zealand by regional council/area unit","79 years","Male","2013",8499,
"Total, New Zealand by regional council/area unit","79 years","Female","2013",10254,
"Total, New Zealand by regional council/area unit","80 years","Male","2013",8031,
"Total, New Zealand by regional council/area unit","80 years","Female","2013",9870,
"Total, New Zealand by regional council/area unit","81 years","Male","2013",7857,
"Total, New Zealand by regional council/area unit","81 years","Female","2013",9573,
"Total, New Zealand by regional council/area unit","82 years","Male","2013",7374,
"Total, New Zealand by regional council/area unit","82 years","Female","2013",9408,
"Total, New Zealand by regional council/area unit","83 years","Male","2013",6468,
"Total, New Zealand by regional council/area unit","83 years","Female","2013",8634,
"Total, New Zealand by regional council/area unit","84 years","Male","2013",5853,
"Total, New Zealand by regional council/area unit","84 years","Female","2013",7959,
"Total, New Zealand by regional council/area unit","85 years","Male","2013",5211,
"Total, New Zealand by regional council/area unit","85 years","Female","2013",7236,
"Total, New Zealand by regional council/area unit","86 years","Male","2013",4470,
"Total, New Zealand by regional council/area unit","86 years","Female","2013",6702,
"Total, New Zealand by regional council/area unit","87 years","Male","2013",3699,
"Total, New Zealand by regional council/area unit","87 years","Female","2013",6084,
"Total, New Zealand by regional council/area unit","88 years","Male","2013",3108,
"Total, New Zealand by regional council/area unit","88 years","Female","2013",5385,
"Total, New Zealand by regional council/area unit","89 years","Male","2013",2550,
"Total, New Zealand by regional council/area unit","89 years","Female","2013",4584,
"Total, New Zealand by regional council/area unit","90 years","Male","2013",1893,
"Total, New Zealand by regional council/area unit","90 years","Female","2013",3897,
"Total, New Zealand by regional council/area unit","91 years","Male","2013",1518,
"Total, New Zealand by regional council/area unit","91 years","Female","2013",3369,
"Total, New Zealand by regional council/area unit","92 years","Male","2013",1236,
"Total, New Zealand by regional council/area unit","92 years","Female","2013",2763,
"Total, New Zealand by regional council/area unit","93 years","Male","2013",783,
"Total, New Zealand by regional council/area unit","93 years","Female","2013",1920,
"Total, New Zealand by regional council/area unit","94 years","Male","2013",552,
"Total, New Zealand by regional council/area unit","94 years","Female","2013",1452,
"Total, New Zealand by regional council/area unit","95 years","Male","2013",369,
"Total, New Zealand by regional council/area unit","95 years","Female","2013",1116,
"Total, New Zealand by regional council/area unit","96 years","Male","2013",300,
"Total, New Zealand by regional council/area unit","96 years","Female","2013",843,
"Total, New Zealand by regional council/area unit","97 years","Male","2013",168,
"Total, New Zealand by regional council/area unit","97 years","Female","2013",666,
"Total, New Zealand by regional council/area unit","98 years","Male","2013",150,
"Total, New Zealand by regional council/area unit","98 years","Female","2013",405,
"Total, New Zealand by regional council/area unit","99 years","Male","2013",69,
"Total, New Zealand by regional council/area unit","99 years","Female","2013",261,
