" "," "," ","0 Years","1 Years","2 Years","3 Years","4 Years","5 Years","6 Years","7 Years","8 Years","9 Years","10 Years","11 Years","12 Years","13 Years","14 Years","15 Years","16 Years","17 Years","18 Years","19 Years","20 Years","21 Years","22 Years","23 Years","24 Years","25 Years","26 Years","27 Years","28 Years","29 Years","30 Years","31 Years","32 Years","33 Years","34 Years","35 Years","36 Years","37 Years","38 Years","39 Years","40 Years","41 Years","42 Years","43 Years","44 Years","45 Years","46 Years","47 Years","48 Years","49 Years","50 Years","51 Years","52 Years","53 Years","54 Years","55 Years","56 Years","57 Years","58 Years","59 Years","60 Years","61 Years","62 Years","63 Years","64 Years","65 Years","66 Years","67 Years","68 Years","69 Years","70 Years","71 Years","72 Years","73 Years","74 Years","75 Years","76 Years","77 Years","78 Years","79 Years","80 Years","81 Years","82 Years","83 Years","84 Years","85 Years","86 Years","87 Years","88 Years","89 Years","0-4 Years","5-9 Years","10-14 Years","15-19 Years","20-24 Years","25-29 Years","30-34 Years","35-39 Years","40-44 Years","45-49 Years","50-54 Years","55-59 Years","60-64 Years","65-69 Years","70-74 Years","75-79 Years","80-84 Years","85-89 Years","Under 15 Years","Under 16 Years","Under 18 Years","Under 20 Years","15-39 Years","15-49 Years","15-59 Years","40-64 Years","15-64 Years","15 Years and Over","16 Years and Over","18 Years and Over","20 Years and Over","60 Years and Over","65 Years and Over","75 Years and Over","80 Years and over","85 Years and Over","90 Years and over"
" "," ",2010,742,680,705,671,591,601,530,496,524,551,556,561,564,566,617,750,762,839,1043,1253,1238,1318,1489,1686,1933,1970,1949,1877,1724,1636,1485,1224,1134,962,940,859,891,858,763,791,678,612,567,534,527,454,421,405,379,400,341,367,332,354,345,337,321,332,286,258,275,255,254,208,189,195,149,141,113,121,94,131,92,67,60,47,54,48,40,33,38,36,26,13,22,14,8,7,11,8,3389,2702,2864,4647,7664,9156,5745,4162,2918,2059,1739,1534,1181,719,444,222,135,48,8955,9705,11306,13602,31374,36351,39624,9431,40805,42400,41650,40049,37753,2776,1595,432,210,75,27
" "," ",2011,711,667,608,576,616,519,516,478,462,500,500,464,475,473,543,718,720,725,1054,1205,1301,1365,1510,1704,1822,1966,1819,1826,1720,1606,1430,1240,1081,936,860,842,795,721,733,701,674,577,499,465,459,399,420,431,361,313,357,323,350,332,336,374,301,308,290,283,291,265,219,232,209,213,161,132,111,115,100,84,79,73,51,46,41,48,44,41,27,22,31,25,14,12,14,8,11,15,3178,2475,2455,4422,7702,8937,5547,3792,2674,1924,1698,1556,1216,732,387,220,119,60,8108,8826,10271,12530,30400,34998,38252,9068,39468,41006,40288,38843,36584,2754,1538,419,199,80,20
" "," ",2012,699,677,629,634,594,507,469,425,407,421,471,476,428,430,495,626,669,763,1050,1132,1078,1166,1526,1785,1884,2036,2044,1870,1700,1645,1518,1284,1086,934,902,796,755,736,696,678,596,599,562,504,432,408,413,359,389,358,325,325,325,339,337,361,363,367,320,334,288,276,260,288,235,207,157,131,130,99,98,89,85,66,73,69,62,48,48,38,29,31,32,13,19,15,11,12,1,6,3233,2229,2300,4240,7439,9295,5724,3661,2693,1927,1651,1745,1347,724,411,265,124,45,7762,8388,9820,12002,30359,34979,38375,9363,39722,41324,40698,39266,37084,2949,1602,467,202,78,33
" "," ",2013,792,702,684,615,592,508,480,477,477,479,441,434,469,430,533,648,721,727,1072,1016,1046,1223,1515,1809,1900,2063,1944,1848,1733,1700,1521,1347,1131,947,959,837,749,774,679,642,620,625,535,493,499,420,365,340,332,363,364,353,320,346,368,382,340,388,348,340,324,300,300,273,273,224,169,133,138,111,100,106,94,74,61,67,50,47,39,44,26,44,30,15,19,13,10,19,9,9,3385,2421,2307,4184,7493,9288,5905,3681,2772,1820,1751,1798,1470,775,435,247,134,60,8113,8761,10209,12297,30551,35143,38692,9611,40162,41834,41186,39738,37650,3142,1672,462,215,81,21
" "," ",2014,846,840,769,757,717,639,579,572,511,483,494,426,476,502,556,700,764,838,1157,1193,1192,1328,1714,2067,2350,2477,2375,2176,2046,1933,1661,1500,1336,1178,1050,961,852,794,766,787,702,670,592,561,513,464,398,388,354,406,390,416,360,368,398,437,385,439,386,403,366,322,334,307,286,252,212,208,160,142,107,118,101,92,92,93,72,65,51,45,30,27,30,30,15,15,18,21,11,8,3929,2784,2454,4652,8651,11007,6725,4160,3038,2010,1932,2050,1615,974,510,326,132,73,9167,9867,11469,13819,35195,40243,44225,10645,45840,47878,47178,45576,43226,3653,2038,554,228,96,23
" "," ",2015,809,848,803,798,801,725,650,600,564,572,546,532,522,526,637,778,748,915,1293,1348,1273,1419,2037,2382,2578,2791,2806,2684,2411,2148,1906,1636,1489,1290,1101,1028,909,906,833,817,737,718,698,663,584,503,435,411,413,388,396,413,420,385,366,411,443,419,377,427,399,372,353,272,286,247,228,184,187,159,138,119,88,91,89,73,69,59,43,39,40,29,39,29,31,16,16,11,9,7,4059,3111,2763,5082,9689,12840,7422,4493,3400,2150,1980,2077,1682,1005,525,283,168,59,9933,10711,12374,15015,39526,45076,49133,11289,50815,52885,52107,50444,47803,3752,2070,540,257,89,30
" "," ",2016,915,924,932,925,885,774,692,661,669,626,580,604,525,548,734,924,845,962,1368,1467,1497,1671,2217,2670,2972,3120,3164,3008,2843,2429,2244,1996,1583,1439,1251,1202,1165,1026,913,826,824,787,675,683,651,552,482,506,407,392,421,432,443,385,395,417,392,432,477,422,438,394,322,315,303,280,225,215,198,155,124,117,106,88,71,68,66,55,50,44,42,22,28,17,32,23,15,15,10,5,4581,3422,2991,5566,11027,14564,8513,5132,3620,2339,2076,2140,1772,1073,506,283,141,68,10994,11918,13725,16560,44802,50761,54977,11947,56749,58843,57919,56112,53277,3866,2094,515,232,91,23
" "," ",2017,894,963,1021,1004,966,886,835,772,775,725,638,638,616,642,753,892,944,942,1288,1261,1370,1470,2115,2488,2791,3021,3055,2936,2781,2546,2288,2066,1720,1540,1476,1289,1208,1078,1008,949,834,834,797,711,743,609,561,495,473,427,407,379,385,458,428,404,431,430,463,447,382,413,373,342,349,288,242,216,197,188,139,118,83,86,77,68,64,66,52,42,57,32,34,22,24,26,18,20,14,10,4848,3993,3287,5327,10234,14339,9090,5532,3919,2565,2057,2175,1859,1131,503,292,169,88,12128,13020,14906,17455,44522,51006,55238,12575,57097,59302,58410,56524,53975,4064,2205,571,279,110,22
" "," ",2018,837,929,984,1046,904,943,793,750,760,715,689,622,643,619,704,846,767,881,1199,1210,1303,1508,1972,2392,2664,2909,3062,3023,2864,2576,2457,2141,1744,1557,1485,1341,1205,1153,1061,938,801,783,693,672,685,598,565,477,448,411,404,400,392,375,401,399,382,365,356,367,386,351,359,316,301,282,220,200,157,136,143,110,94,82,69,50,63,49,52,55,33,32,23,31,22,24,18,11,13,12,4700,3961,3277,4903,9839,14434,9384,5698,3634,2499,1972,1869,1713,995,498,269,141,78,11938,12784,14432,16841,44258,50391,54232,11687,55945,57949,57103,55455,53046,3717,2004,511,242,101,23
" ","Male",2002,664,771,740,776,752,724,782,763,827,902,898,917,818,859,891,1089,1139,1680,2559,2479,1679,1494,1635,1696,1754,1788,1834,1772,1807,1828,1741,1515,1333,1315,1235,1195,1106,1071,1048,997,901,879,779,775,753,635,595,550,511,452,428,387,388,363,357,264,273,264,242,253,220,210,183,187,182,174,144,144,127,109,121,95,91,97,55,61,57,49,35,39,29,17,21,8,12,14,8,6,5,4,3703,3998,4383,8946,8258,9029,7139,5417,4087,2743,1923,1296,982,698,459,241,87,37,12084,13173,15992,21030,38789,45619,48838,11031,49820,51370,50281,47462,42424,2532,1550,393,152,65,28
" "," ",2003,720,837,835,814,827,922,853,860,919,963,1017,946,974,923,965,1119,1119,1650,2476,2488,2019,1723,1906,1888,1964,1912,1961,1961,1966,2024,2002,1820,1404,1495,1363,1300,1187,1134,1159,1139,1077,932,909,806,749,715,651,602,516,464,471,411,347,349,381,355,305,248,232,219,273,220,189,193,195,174,182,151,142,110,94,96,69,79,68,65,39,43,25,32,24,25,20,12,9,11,8,7,7,7,4033,4517,4825,8852,9500,9824,8084,5919,4473,2948,1959,1359,1070,759,406,204,90,40,13375,14494,17263,22227,42179,49600,52918,11809,53988,55527,54408,51639,46675,2609,1539,374,170,80,40
" "," ",2004,754,788,771,760,779,762,733,729,801,779,818,807,770,724,778,897,866,1007,1362,1372,1166,1216,1255,1410,1467,1498,1686,1669,1682,1772,1721,1593,1445,1326,1321,1156,1091,1073,1007,1034,1030,888,860,703,656,668,627,509,488,426,434,405,350,348,318,296,303,253,242,224,218,196,168,174,160,163,144,116,99,105,71,67,70,66,45,59,59,47,39,27,18,28,17,27,14,13,13,8,6,8,3852,3804,3897,5504,6514,8307,7406,5361,4137,2718,1855,1318,916,627,319,231,104,48,11553,12450,14323,17057,33092,39947,43120,10944,44036,45405,44508,42635,39901,2285,1369,423,192,88,40
" "," ",2005,707,782,684,689,734,673,681,666,668,673,711,685,666,692,663,781,754,799,887,941,882,1008,1104,1256,1296,1462,1525,1602,1627,1583,1562,1441,1320,1223,1174,1143,1064,955,936,893,885,805,764,711,675,597,574,500,447,514,407,400,356,323,347,343,308,260,250,231,223,181,177,185,173,158,168,111,110,109,84,77,63,66,76,50,41,55,34,44,30,27,19,14,12,12,9,7,4,6,3596,3361,3417,4162,5546,7799,6720,4991,3840,2632,1833,1392,939,656,366,224,102,38,10374,11155,12708,14536,29218,35690,38915,10636,39854,41264,40483,38930,37102,2349,1410,388,164,62,24
